Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-115497	-115502	4.88672	0.07028649	0.01861326	0.05167323	0.01861326
10	-115498	-115503	4.88752	0.07028159	0.01944138	0.05084021	0.01944138
20	-115497	-115502	4.88295	0.06971095	0.0166527	0.05305826	0.0166527
30	-115497	-115502	4.88139	0.07106371	0.01980412	0.0512596	0.01980412
40	-115497	-115502	4.87904	0.06932909	0.01577346	0.05355563	0.01577346
50	-115499	-115504	4.86878	0.06748681	0.01367544	0.05381137	0.01367544
60	-115498	-115502	4.87807	0.07024778	0.01670122	0.05354656	0.01670122
70	-115498	-115502	4.87748	0.06959044	0.01587934	0.0537111	0.01587934
80	-115497	-115502	4.87731	0.07143809	0.01890548	0.0525326	0.01890548
90	-115497	-115502	4.88054	0.07115965	0.02001248	0.05114717	0.02001248
100	-115497	-115502	4.88968	0.06944637	0.01736526	0.05208112	0.01736526
110	-115498	-115503	4.89257	0.06897155	0.0171248	0.05184675	0.0171248
120	-115499	-115504	4.85663	0.0684681	0.01358152	0.05488658	0.01358152
130	-115497	-115502	4.88658	0.06975003	0.0172851	0.05246493	0.0172851
140	-115499	-115504	4.86185	0.06881248	0.01408094	0.05473154	0.01408094
150	-115497	-115502	4.87856	0.07137027	0.01926894	0.05210133	0.01926894
160	-115499	-115504	4.86951	0.07215953	0.0217076	0.05045192	0.0217076
170	-115497	-115502	4.88525	0.07050687	0.01881344	0.05169343	0.01881344
180	-115498	-115503	4.87446	0.07170537	0.02115932	0.05054605	0.02115932
190	-115497	-115502	4.87701	0.07158816	0.02018389	0.05140427	0.02018389
200	-115498	-115503	4.87683	0.07155307	0.02058738	0.0509657	0.02058738
210	-115499	-115504	4.87483	0.07156819	0.02136038	0.05020782	0.02136038
220	-115497	-115502	4.87926	0.07100869	0.01822996	0.05277873	0.01822996
230	-115499	-115504	4.87941	0.0675738	0.01438756	0.05318624	0.01438756
240	-115497	-115502	4.88111	0.07109921	0.01962956	0.05146965	0.01962956
250	-115499	-115503	4.8715	0.06771057	0.01396474	0.05374583	0.01396474
260	-115497	-115502	4.8872	0.07000705	0.01793505	0.052072	0.01793505
270	-115497	-115502	4.88658	0.0692245	0.01652457	0.05269993	0.01652457
280	-115497	-115502	4.88272	0.07083843	0.01897283	0.0518656	0.01897283
290	-115498	-115503	4.8725	0.07207342	0.02074844	0.05132498	0.02074844
300	-115497	-115502	4.88208	0.07066555	0.01813697	0.05252858	0.01813697
310	-115497	-115502	4.88158	0.0696032	0.01634412	0.05325908	0.01634412
320	-115497	-115502	4.87902	0.0691212	0.01557196	0.05354924	0.01557196
330	-115499	-115503	4.89507	0.0689502	0.01766983	0.05128037	0.01766983
340	-115498	-115503	4.87484	0.06977709	0.01580707	0.05397002	0.01580707
350	-115498	-115503	4.872	0.0721718	0.01978063	0.05239117	0.01978063
360	-115497	-115502	4.87849	0.06928048	0.01567237	0.05360811	0.01567237
370	-115499	-115504	4.88842	0.06764707	0.01514707	0.0525	0.01514707
380	-115498	-115503	4.8756	0.07026472	0.01641685	0.05384787	0.01641685
390	-115497	-115502	4.8875	0.06866896	0.01599846	0.0526705	0.01599846
400	-115497	-115502	4.8889	0.06969692	0.0176776	0.05201932	0.0176776
410	-115499	-115504	4.87065	0.07230794	0.01966617	0.05264177	0.01966617
420	-115498	-115503	4.87429	0.07153175	0.01823442	0.05329733	0.01823442
430	-115497	-115502	4.88827	0.06995323	0.01811486	0.05183837	0.01811486
440	-115498	-115503	4.87611	0.07135124	0.01825314	0.05309809	0.01825314
450	-115497	-115502	4.88202	0.07029842	0.01737888	0.05291954	0.01737888
